Claim ID,Claim Label,Displayed Value,Unit,Category,Counting Rule,Source Dataset,Publication Status,Limitations / Boundary,Zero-State Evidence,Detail URL,Correction URL,Recomputed Item Count,Reconciliation
PKR-CLM-012,Ephemera sequence release-package files,6,files,Core metric,Count the six files stored at the root of the authoritative v0.6–v1.0 sequence ZIP.,downloads/Lititz_BMX_Ephemera_Sequence_v0.6-v1.0_Release_Package.zip,LOCKED,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-012/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-012,6,MATCH
PKR-CLM-013,Duplicate source occurrences,20,records,Core metric,Count every source record assigned to a reviewed Duplicate Group.,data/ephemera-register-v2.0.0.csv,REVIEWED,"These are retained source occurrences, not records deleted from the public set.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-013/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-013,20,MATCH
PKR-CLM-014,Workbook formula-error cells,0,cells,Core metric,Count cells containing standard spreadsheet formula-error values in the public claim-visible workbook.,docs/VALIDATION-REPORT.md,VERIFIED ZERO,This validates formula integrity only; it does not establish historical accuracy.,Workbook-wide formula-error pattern scan performed after export.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-014/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-014,0,MATCH
PKR-CLM-015,Permanent source-record routes,1010,routes,Core metric,Count one permanent /records/EPH-####/ route for each public Master ID.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-015/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-015,1010,MATCH
PKR-CLM-OT-001,Object type: Catalog,10,records,Object-type distribution,Count records whose Object Type exactly equals “Catalog”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-001/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-001,10,MATCH
PKR-CLM-OT-002,Object type: Magazine advertisement,42,records,Object-type distribution,Count records whose Object Type exactly equals “Magazine advertisement”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-002/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-002,42,MATCH
PKR-CLM-OT-003,Object type: Catalog model page,5,records,Object-type distribution,Count records whose Object Type exactly equals “Catalog model page”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-003/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-003,5,MATCH
PKR-CLM-OT-004,Object type: Catalog claim,2,records,Object-type distribution,Count records whose Object Type exactly equals “Catalog claim”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-004/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-004,2,MATCH
PKR-CLM-OT-005,Object type: Information-pack mailer,37,records,Object-type distribution,Count records whose Object Type exactly equals “Information-pack mailer”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-005/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-005,37,MATCH
PKR-CLM-OT-006,Object type: Manufacturer catalog,4,records,Object-type distribution,Count records whose Object Type exactly equals “Manufacturer catalog”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-006/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-006,4,MATCH
PKR-CLM-OT-007,Object type: Manufacturer/distributor catalog page,15,records,Object-type distribution,Count records whose Object Type exactly equals “Manufacturer/distributor catalog page”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-007/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-007,15,MATCH
PKR-CLM-OT-008,Object type: Retailer advertisement / price list,130,records,Object-type distribution,Count records whose Object Type exactly equals “Retailer advertisement / price list”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-008/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-008,130,MATCH
PKR-CLM-OT-009,Object type: Archive collection,160,records,Object-type distribution,Count records whose Object Type exactly equals “Archive collection”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-009/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-009,160,MATCH
PKR-CLM-OT-010,Object type: Catalog mailer,24,records,Object-type distribution,Count records whose Object Type exactly equals “Catalog mailer”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-010/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-010,24,MATCH
PKR-CLM-OT-011,Object type: Catalog mailer / advertisement,11,records,Object-type distribution,Count records whose Object Type exactly equals “Catalog mailer / advertisement”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-011/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-011,11,MATCH
PKR-CLM-OT-012,Object type: Catalog model list,1,records,Object-type distribution,Count records whose Object Type exactly equals “Catalog model list”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-012/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-012,1,MATCH
PKR-CLM-OT-013,Object type: Combined flyer / price-list set,2,records,Object-type distribution,Count records whose Object Type exactly equals “Combined flyer / price-list set”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-013/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-013,2,MATCH
PKR-CLM-OT-014,Object type: Component catalog,1,records,Object-type distribution,Count records whose Object Type exactly equals “Component catalog”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-014/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-014,1,MATCH
PKR-CLM-OT-015,Object type: Contest entry form,4,records,Object-type distribution,Count records whose Object Type exactly equals “Contest entry form”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-015/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-015,4,MATCH
PKR-CLM-OT-016,Object type: Contest entry form / promotion,28,records,Object-type distribution,Count records whose Object Type exactly equals “Contest entry form / promotion”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-016/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-016,28,MATCH
PKR-CLM-OT-017,Object type: Dealer advertisement / price-list lead,14,records,Object-type distribution,Count records whose Object Type exactly equals “Dealer advertisement / price-list lead”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-017/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-017,14,MATCH
PKR-CLM-OT-018,Object type: Dealer price list,1,records,Object-type distribution,Count records whose Object Type exactly equals “Dealer price list”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-018/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-018,1,MATCH
PKR-CLM-OT-019,Object type: Dealer price-list / sticker offer,12,records,Object-type distribution,Count records whose Object Type exactly equals “Dealer price-list / sticker offer”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-019/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-019,12,MATCH
PKR-CLM-OT-020,Object type: Dealer/shop advertisement,59,records,Object-type distribution,Count records whose Object Type exactly equals “Dealer/shop advertisement”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-020/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-020,59,MATCH
PKR-CLM-OT-021,Object type: Distributor price list,3,records,Object-type distribution,Count records whose Object Type exactly equals “Distributor price list”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-021/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-021,3,MATCH
PKR-CLM-OT-022,Object type: Event entry / pre-registration advertisement,3,records,Object-type distribution,Count records whose Object Type exactly equals “Event entry / pre-registration advertisement”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-022/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-022,3,MATCH
PKR-CLM-OT-023,Object type: Event flyer / trade-exhibition notice,9,records,Object-type distribution,Count records whose Object Type exactly equals “Event flyer / trade-exhibition notice”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-023/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-023,9,MATCH
PKR-CLM-OT-024,Object type: Event notice / contact flyer,32,records,Object-type distribution,Count records whose Object Type exactly equals “Event notice / contact flyer”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-024/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-024,32,MATCH
PKR-CLM-OT-025,Object type: Event prize promotion,11,records,Object-type distribution,Count records whose Object Type exactly equals “Event prize promotion”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-025/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-025,11,MATCH
PKR-CLM-OT-026,Object type: Event registration coupon,13,records,Object-type distribution,Count records whose Object Type exactly equals “Event registration coupon”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-026/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-026,13,MATCH
PKR-CLM-OT-027,Object type: Factory-team history,27,records,Object-type distribution,Count records whose Object Type exactly equals “Factory-team history”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-027/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-027,27,MATCH
PKR-CLM-OT-028,Object type: Model archive,1,records,Object-type distribution,Count records whose Object Type exactly equals “Model archive”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-028/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-028,1,MATCH
PKR-CLM-OT-029,Object type: Product announcement / kit,58,records,Object-type distribution,Count records whose Object Type exactly equals “Product announcement / kit”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-029/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-029,58,MATCH
PKR-CLM-OT-030,Object type: Product catalog,1,records,Object-type distribution,Count records whose Object Type exactly equals “Product catalog”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-030/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-030,1,MATCH
PKR-CLM-OT-031,Object type: Product literature,201,records,Object-type distribution,Count records whose Object Type exactly equals “Product literature”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-031/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-031,201,MATCH
PKR-CLM-OT-032,Object type: Product-history object,51,records,Object-type distribution,Count records whose Object Type exactly equals “Product-history object”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-032/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-032,51,MATCH
PKR-CLM-OT-033,Object type: Promotional announcement / naming contest,2,records,Object-type distribution,Count records whose Object Type exactly equals “Promotional announcement / naming contest”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-033/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-033,2,MATCH
PKR-CLM-OT-034,Object type: Rider/model naming history,7,records,Object-type distribution,Count records whose Object Type exactly equals “Rider/model naming history”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-034/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-034,7,MATCH
PKR-CLM-OT-035,Object type: Team advertisement,10,records,Object-type distribution,Count records whose Object Type exactly equals “Team advertisement”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-035/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-035,10,MATCH
PKR-CLM-OT-036,Object type: Team/product advertisement,14,records,Object-type distribution,Count records whose Object Type exactly equals “Team/product advertisement”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-036/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-036,14,MATCH
PKR-CLM-OT-037,Object type: Tour promotion / route notice,5,records,Object-type distribution,Count records whose Object Type exactly equals “Tour promotion / route notice”.,data/ephemera-register-v2.0.0.csv,READY,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-OT-037/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-OT-037,5,MATCH
PKR-CLM-DECADE-1970S,Chronology decade: 1970s,19,records,Decade distribution,Count records whose Start Year maps to 1970s; blank or non-four-digit values map to Undated.,data/ephemera-register-v2.0.0.csv,READY,This is a start-year grouping; date ranges can extend beyond the displayed decade.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-DECADE-1970S/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-DECADE-1970S,19,MATCH
PKR-CLM-DECADE-1980S,Chronology decade: 1980s,972,records,Decade distribution,Count records whose Start Year maps to 1980s; blank or non-four-digit values map to Undated.,data/ephemera-register-v2.0.0.csv,READY,This is a start-year grouping; date ranges can extend beyond the displayed decade.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-DECADE-1980S/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-DECADE-1980S,972,MATCH
PKR-CLM-DECADE-1990S,Chronology decade: 1990s,17,records,Decade distribution,Count records whose Start Year maps to 1990s; blank or non-four-digit values map to Undated.,data/ephemera-register-v2.0.0.csv,READY,This is a start-year grouping; date ranges can extend beyond the displayed decade.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-DECADE-1990S/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-DECADE-1990S,17,MATCH
PKR-CLM-DECADE-2020S,Chronology decade: 2020s,1,records,Decade distribution,Count records whose Start Year maps to 2020s; blank or non-four-digit values map to Undated.,data/ephemera-register-v2.0.0.csv,READY,This is a start-year grouping; date ranges can extend beyond the displayed decade.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-DECADE-2020S/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-DECADE-2020S,1,MATCH
PKR-CLM-DECADE-UNDATED,Chronology decade: Undated,1,records,Decade distribution,Count records whose Start Year maps to Undated; blank or non-four-digit values map to Undated.,data/ephemera-register-v2.0.0.csv,READY,This is a start-year grouping; date ranges can extend beyond the displayed decade.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-DECADE-UNDATED/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-DECADE-UNDATED,1,MATCH
PKR-CLM-016,Indexed-text records awaiting page-image comparison,949,records,Research status,"Count Source Records whose Source Stage begins “v1.1”, “v1.2”, or “v2.0”; these records were created from indexed issue text and remain queued for page-image comparison.",data/ephemera-register-v2.0.0.csv,DISCLOSED REVIEW BACKLOG,"The source occurrence and indexed factual content are retained, but exact visual layout, OCR alignment, and recurring-ad identity remain subject to page-image review.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-016/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-016,949,MATCH
PKR-CLM-CAT-001,Primary category: Catalogs and product literature,240,records,Primary category distribution,"Count Source Records whose Category ID exactly equals ""PKR-CAT-001"".",data/ephemera-register-v2.0.0.csv,READY,Primary Category is a controlled navigation layer and does not replace the exact Object Type or historical description.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-CAT-001/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-CAT-001,240,MATCH
PKR-CLM-CAT-002,Primary category: Advertisements and price lists,174,records,Primary category distribution,"Count Source Records whose Category ID exactly equals ""PKR-CAT-002"".",data/ephemera-register-v2.0.0.csv,READY,Primary Category is a controlled navigation layer and does not replace the exact Object Type or historical description.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-CAT-002/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-CAT-002,174,MATCH
PKR-CLM-CAT-003,"Primary category: Mailers, stickers, and information packs",85,records,Primary category distribution,"Count Source Records whose Category ID exactly equals ""PKR-CAT-003"".",data/ephemera-register-v2.0.0.csv,READY,Primary Category is a controlled navigation layer and does not replace the exact Object Type or historical description.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-CAT-003/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-CAT-003,85,MATCH
