Source ID,URL,Domain,Stages Used,Source Roles,Record References,Default Rights Treatment,Access Route,Preservation Priority,Notes
SRC-011,https://jmcbmx.wordpress.com/about/,jmcbmx.wordpress.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-012,https://jmcbmx.wordpress.com/page/3/,jmcbmx.wordpress.com,v0.5 inherited,Existing public knowledge register,3,INDEX-ONLY; INDEX-ONLY / PERMISSION REQUIRED,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source
SRC-013,https://mx.pinterest.com/pin/430304939389697467/,mx.pinterest.com,v1.0 prices,1992 GT/Dyno Product Catalog; Indexed catalog page,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Price observation source
SRC-014,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,previouspage.co.uk,v0.6; v0.9; v1.0 prices,GT/Dyno sequence; Period contest entry form; Period retailer advertisement,22,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source; Price observation source
SRC-015,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/13-april%2Fmay-eighty-two,previouspage.co.uk,v0.8; v0.9; v1.1 expansion,Period product mailer advertisement; Period publication; v1.1 chronological issue pass,22,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,"Expanded issue pass: 22 source records and 21 price observations from BMX Action Bike, April/May 1982."
SRC-016,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/25-october%2Fnovember-eighty-two,previouspage.co.uk,v0.8; v1.1 chronological census,Period publication; chronological issue pass,30,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — October/November 1982 — Volume 2 Number 4 — expanded issue pass
SRC-017,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/57-august%2Fseptember-eighty-two,previouspage.co.uk,v0.8; v1.1 chronological census,Period publication; chronological issue pass,29,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — August/September 1982 — Volume 2 Number 3 — expanded issue pass
SRC-018,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/58-december%2Fjanuary-eighty-two,previouspage.co.uk,v0.9; v1.1 chronological census,Period event promotion; Period magazine coupon; chronological issue pass,30,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — December 1982/January 1983 — Volume 2 Number 5 — expanded issue pass
SRC-019,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/62-july-nineteen-eighty-three,previouspage.co.uk,v1.0 prices,Period retailer advertisement,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Price observation source
SRC-020,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/64-september-nineteen-eighty-three,previouspage.co.uk,v0.9; v1.0 prices,Period magazine advertisement / booking form; Period retailer advertisement,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source; Price observation source
SRC-021,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/85-october-nineteen-eighty-three,previouspage.co.uk,v0.9; v1.0 prices,Period dealer advertisement; Period retailer advertisement,3,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source; Price observation source
SRC-022,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/87-december%20%2F%20january-eighty-three,previouspage.co.uk,v0.9,Period dealer advertisement,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-023,https://previouspage.co.uk/magazines/BMX%20Plus/issues/243-may-nineteen-eighty-seven,previouspage.co.uk,v0.9,Period magazine event notice,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-024,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,previouspage.co.uk,v0.6; v0.9; v1.0 prices,GT/Dyno sequence; Period event advertisement; Period magazine promotional notice; Period retailer advertisement,7,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source; Price observation source
SRC-025,https://previouspage.co.uk/magazines/BMX%20Weekly/issues/213-september-nineteen-eighty-two,previouspage.co.uk,v0.9; v1.0 prices,Period retailer advertisement,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source; Price observation source
SRC-026,https://storage.googleapis.com/dioyjtkukhpqse/haro-bmx-catalog.html,storage.googleapis.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-027,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,thecabe.com,v0.5 inherited; v0.7,EXACT EXTERNAL DIRECT LINK; EXTERNAL TECHNICAL INTERPRETATION; Existing public knowledge register,4,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source
SRC-028,https://torkerracing.com/blogs/news/torker-bmx-number-one-team-in-america,torkerracing.com,v0.8,Current official historical archive,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-029,https://torkerracing.com/pages/the-fullerton-era-torker-bmx-history,torkerracing.com,v0.5 inherited; v0.8,Current official historical archive; Existing public knowledge register,3,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source
SRC-030,https://torkerracing.com/pages/torker-bmx-hall-of-fame,torkerracing.com,v0.8,Current official historical archive,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-031,https://torkerracing.com/pages/torker-bmx-models,torkerracing.com,v0.8,Current official historical archive,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-032,https://www.bloggingadeadhorse.com/hotfoot2.php,www.bloggingadeadhorse.com,v0.8; v1.0 prices,Australian collector/research archive; Collector summary of period distributor list,4,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source; Price observation source
SRC-033,https://www.bmx-catalogue.com/advanced-search.html,www.bmx-catalogue.com,v0.7,Indexed enthusiast model registry,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-034,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1a.html,www.bmx-catalogue.com,v0.7,Enthusiast catalog reconstruction,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-035,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1b.html,www.bmx-catalogue.com,v0.7,Enthusiast catalog reconstruction,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-036,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1c.html,www.bmx-catalogue.com,v0.7,Enthusiast catalog reconstruction,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-037,https://www.bmx-catalogue.com/haro/mid-school/1990/invert.html,www.bmx-catalogue.com,v0.7,Enthusiast catalog reconstruction,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-038,https://www.bmx-catalogue.com/haro/mid-school/1990/master.html,www.bmx-catalogue.com,v0.7,Enthusiast catalog reconstruction,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-039,https://www.bmx-catalogue.com/haro/mid-school/1990/model.html,www.bmx-catalogue.com,v0.7,Enthusiast catalog reconstruction; Official manufacturer archive,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-040,https://www.facebook.com/groups/553888658024748/posts/27080185384968381/,www.facebook.com,v0.5 inherited; v1.0 prices,Existing public knowledge register; Vintage JMC Racing Equipment dealer's price list from Azusa collection,3,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source; Price observation source
SRC-041,https://www.pinterest.com/pin/430304939389697452/,www.pinterest.com,v0.6; v1.0 prices,1992 GT/Dyno Product Catalog; GT/Dyno sequence; Indexed catalog page,3,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source; Price observation source
SRC-042,https://www.pinterest.com/pin/bmxmuseumcom-reference-1987-diacompe-182-aerial-brake-lever--731623901972849898/,www.pinterest.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-043,https://www.pinterest.com/pin/bmxmuseumcom-reference-1996-gtdyno-the-bmx-freestyle-catalog--491877590560035755/,www.pinterest.com,v0.5 inherited; v0.6,Existing public knowledge register; GT/Dyno sequence,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-044,https://www.pinterest.com/pin/bmxmuseumcom-reference-1999-gtdyno-bmxfreestyle-part-2-in-2025--798192733998105769/,www.pinterest.com,v0.5 inherited; v0.6,Existing public knowledge register; GT/Dyno sequence,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-045,https://www.pinterest.com/pin/jmc-bmx-fliers-and-price-list--442478732119429034/,www.pinterest.com,v0.5 inherited; v1.0 prices,Existing public knowledge register; JMC Racing Fliers and Price List,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source; Price observation source
SRC-046,https://www.previouspage.co.uk/issues/131-november-nineteen-ninety-one,www.previouspage.co.uk,v0.7; v0.9; v1.0 prices,Independent period publication; Period catalog mailer,3,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source; Price observation source
SRC-047,https://www.radbmx.co.uk/forum/index.php?topic=181254.0,www.radbmx.co.uk,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-048,https://www.redlinevintagebmx.com/redline-history,www.redlinevintagebmx.com,v0.8,Historical brand archive; Official rider-history corroboration,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-049,https://www.redlinevintagebmx.com/the-rl-40-project,www.redlinevintagebmx.com,v0.8,Historical brand archive,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-050,https://www.sebikes.com/blogs/news/classic-1,www.sebikes.com,v0.8,First-person official rider page,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-051,https://www.sebikes.com/blogs/news/elite-race-series,www.sebikes.com,v0.8,Current official brand history,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-052,https://www.sebikes.com/pages/perry-kramer,www.sebikes.com,v0.8,Current official brand history; First-person official rider page,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-053,https://www.usabmx.com/news-and-media/6/2012-05-10/National-BMX-Hall-of-Fame-2012-Inductees-Announced?id=580,www.usabmx.com,v0.5 inherited; v0.8,Existing public knowledge register; Official rider-history corroboration,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-054,https://www.vintagemongoose.com/,www.vintagemongoose.com,v0.8,Australian collector/research archive; Specialist historical archive,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-055,https://www.vintagemongoose.com/info/catalogs.php,www.vintagemongoose.com,v0.7; v0.8,PERIOD CATALOG PAGE; Period catalog PDF; Specialist historical archive,5,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source
SRC-056,https://www.vintagemongoose.com/pdfs/mongoose_cat76-77.pdf,www.vintagemongoose.com,v0.7; v0.8,PERIOD CATALOG PAGE; Period catalog PDF,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-057,https://www.vintagemongoose.com/pdfs/mongoose_cat79-80.pdf,www.vintagemongoose.com,v0.7; v0.8,PERIOD CATALOG PAGE; Period catalog PDF,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-058,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/14-june%2Fjuly-eighty-two,previouspage.co.uk,v1.1 chronological census,Period publication; chronological issue pass,28,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — June/July 1982 — Volume 2 Number 2
SRC-059,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/59-february%2Fmarch-eighty-three,previouspage.co.uk,v1.1 chronological census,Period publication; chronological issue pass,28,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — February/March 1983 — Volume 2 Number 6
SRC-060,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/60-april%2Fmay-eighty-three,previouspage.co.uk,v1.1 chronological census,Period publication; chronological issue pass,29,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — April/May 1983 — Volume 2 Number 7
SRC-061,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,previouspage.co.uk,v1.2 chronological census,Period publication; chronological issue pass,45,,,,BMX Action Bike — June 1983 — Volume 2 Number 8
SRC-062,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/62-july-nineteen-eighty-three,previouspage.co.uk,v1.2 chronological census,Period publication; chronological issue pass,48,,,,BMX Action Bike — July 1983 — Volume 2 Number 9
SRC-063,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/63-august-nineteen-eighty-three,previouspage.co.uk,v1.2 chronological census,Period publication; chronological issue pass,53,,,,BMX Action Bike — August 1983 — Volume 2 Number 10
SRC-064,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/64-september-nineteen-eighty-three,previouspage.co.uk,v1.2 chronological census,Period publication; chronological issue pass,52,,,,BMX Action Bike — September 1983 — Volume 2 Number 11
SRC-065,https://previouspage.co.uk/issues/85-october-nineteen-eighty-three,previouspage.co.uk,v1.2 chronological census,Period publication; chronological issue pass,52,,,,BMX Action Bike — October 1983 — Volume 2 Number 12
SRC-066,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/86-november-nineteen-eighty-three,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,40,,,,BMX Action Bike — November 1983 — Volume 2 Number 13
SRC-067,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/87-december%20%2F%20january-eighty-three,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,64,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — December/January 1983 — Volume 2 Number 14; 64 retained source records after contents-to-body coverage reconciliation. Sales & Swaps private classifieds are not itemized because the indexed text contains personal contact details.
SRC-068,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/194-february-nineteen-eighty-four,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,68,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,BMX Action Bike — February 1984 — Volume 2 Number 15; 68 retained source records after contents-to-indexed-body coverage reconciliation. Sales & Swaps private classifieds are not itemized because the indexed text exposes personal contact details.
SRC-069,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/44-january-nineteen-eighty-five,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,88,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,"BMX Action Bike — January 1985 — Number 26; 88 retained source records after contents, indexed-body, advertising, and association-notice reconciliation. The current source index jumps from February 1984 to January 1985; the gap is disclosed as source availability, not treated as proof that intervening issues did not exist."
SRC-070,https://previouspage.co.uk/magazines/Bicross/issues/230-july-nineteen-eighty-two,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,59,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,"Bicross — July 1982 — Issue 1; 59 retained source records after contents, indexed-body, product, technical, advertising, and results reconciliation. French-language indexed text is paraphrased into English while original names, models, dates, and currency are preserved. Individual classified listings and personal contact details are not transcribed."
SRC-071,https://previouspage.co.uk/magazines/Bicross/issues/231-october-nineteen-eighty-two,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,58,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,"Bicross — October 1982 — Issue 2; 58 retained source records after contents, indexed-body, product, technical, advertising, race-report, results, translation, and privacy reconciliation. French-language text is paraphrased into English; personal contact details and individual classifieds are not transcribed."
SRC-072,https://previouspage.co.uk/magazines/Bicross/issues/232-november-nineteen-eighty-two,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,69,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,"Bicross — November 1982 — Issue 3; 69 retained source records after contents, editorial, reader, technical, international-product, championship, Australian, race-report, advertising, translation, and privacy reconciliation. French-language text is paraphrased into English; personal contact details and individual classifieds are not transcribed."
SRC-073,https://previouspage.co.uk/magazines/Bicross/issues/233-december-nineteen-eighty-two,previouspage.co.uk,v2.0 chronological census,Period publication; chronological issue pass,64,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,"Bicross — December 1982 — Issue 4; 64 retained source records after contents, reader, technical, AFB, international-event, product-test, advertising, race-report, translation, and privacy reconciliation. French-language text is paraphrased into English; personal contact details and individual classifieds are not transcribed."
