Master ID,Source Stage,Original ID,Object Type,Title,Start Year,End Year,Date Text,Brand / Promoter,Primary Subject,Geography,BMXMuseum Status,Exact Reference ID,Source Role,Evidence / Limitation,Confidence,Rights Code,Research Status,Primary Source URL,Secondary Source URL,Normalized Duplicate Key,Duplicate Group,Canonical Action,Notes,Accessed,Category ID,Primary Category
EPH-0011,v0.5 inherited,BM-AD-0011,Combined flyer / price-list set,JMC Racing Fliers and Price List,,,Undated,JMC Racing,"JMC product range, dealer-facing terminology, period marketing and historical prices if readable.",Unresolved / varies,Reference title exposed; exact ID unresolved,,Existing public knowledge register,"A public index explicitly identifies a BMXMuseum JMC flyer-and-price-list set. Exact reference ID, date, page count and individual prices are not exposed.",MEDIUM,INDEX-ONLY,"Priority — locate exact reference ID, count pages and transcribe only clearly labeled factual price fields.",https://www.pinterest.com/pin/jmc-bmx-fliers-and-price-list--442478732119429034/,https://www.facebook.com/groups/553888658024748/posts/27080185384968381/,jmc racing|jmc racing fliers and price list|,,RETAIN — unique source record,Image: Do not copy scans. Text: Paraphrase bibliographic and price facts only.,2026-07-30,PKR-CAT-002,Advertisements and price lists
EPH-0012,v0.5 inherited,BM-AD-0012,Dealer price list,Vintage JMC Racing Equipment dealer's price list from Azusa collection,2026,2026,Undated vintage document; public post 2026,JMC Racing; Azusa collection,Existence of a period JMC dealer-price document and possible dealer/distributor context.,Unresolved / varies,External corroborating ephemera lead,,Existing public knowledge register,"The public result exposes the document description but not a reliable issue date, complete contents or readable line-item prices.",LOW-MEDIUM,INDEX-ONLY,Corroboration lead — do not merge with BMXMuseum set until directly compared.,https://www.facebook.com/groups/553888658024748/posts/27080185384968381/,,jmc racing azusa collection|vintage jmc racing equipment dealer s price list from azusa collection|2026,,RETAIN — unique source record,Image: Do not copy image. Text: Paraphrase document description only.,2026-07-30,PKR-CAT-007,Dealers and distributors
EPH-0013,v0.5 inherited,BM-AD-0013,Magazine advertisement,July 1979 JMC advertisement,1979,1979,July 1979 issue; ran over multiple months,JMC Racing,"Period product marketing, model terminology and JMC's 1979 market presentation.",Unresolved / varies,First-party JMC historical archive object,,Existing public knowledge register,JMC's historical archive identifies the source as the July 1979 Bicycle Motocross Action issue and says the advertisement appeared over many months. Page and full copy are not transcribed.,HIGH for bibliographic identity,INDEX-ONLY / PERMISSION REQUIRED,Included — index metadata; do not reproduce image or extended copy.,https://jmcbmx.wordpress.com/2010/02/03/july-1979-advertisement/,https://jmcbmx.wordpress.com/page/3/,jmc racing|july 1979 jmc advertisement|1979,,RETAIN — unique source record,Image: Do not copy; BMXA imagery requires Bob Osborn's written permission. Text: Paraphrase bibliographic facts only.,2026-07-30,PKR-CAT-002,Advertisements and price lists
EPH-0014,v0.5 inherited,BM-AD-0014,Magazine advertisement,April 1981 JMC advertisement,1981,1981,April 1981; appeared in multiple months,JMC Racing; Black Shadow; 3.1 XL,Black Shadow naming after chrome introduction; 3.1 XL 110-lb limit and frame relationship; comparative geometry claim.,Unresolved / varies,First-party JMC historical archive object,,Existing public knowledge register,"The JMC archive identifies Super BMX as the publication and summarizes several claims. Exact page, repeated issues and full advertisement copy remain unresolved.",HIGH for source/date; MEDIUM-HIGH for summarized claims,INDEX-ONLY,Included — preserve claim-level evidence and recover page/issue details.,https://jmcbmx.wordpress.com/2010/02/03/april-1981-advertisement/,https://jmcbmx.wordpress.com/page/3/,jmc racing black shadow 3 1 xl|april 1981 jmc advertisement|1981,,RETAIN — unique source record,Image: Do not copy advertisement image. Text: Paraphrase specific factual claims with attribution.,2026-07-30,PKR-CAT-002,Advertisements and price lists
EPH-0015,v0.5 inherited,BM-AD-0015,Team advertisement,1981 JMC Factory Team advertisement,1981,1981,1981,JMC Racing; JMC Factory Team,"Factory-team roster context, team presentation and period branding.",Unresolved / varies,First-party JMC historical archive object,,Existing public knowledge register,"The first-party archive confirms the object title and year. Publication, month, issue and complete rider identifications remain unresolved.",MEDIUM-HIGH,INDEX-ONLY,Included — identify publication/issue and riders shown before detailed extraction.,https://jmcbmx.wordpress.com/2010/02/03/81-jmc-factory-team-advertisement/,https://jmcbmx.wordpress.com/page/3/,jmc racing jmc factory team|1981 jmc factory team advertisement|1981,,RETAIN — unique source record,Image: Do not copy advertisement image. Text: Paraphrase bibliographic facts only.,2026-07-30,PKR-CAT-006,"Teams, riders, and brand campaigns"
EPH-0016,v0.5 inherited,BM-AD-0016,Promotional announcement / naming contest,JMC 3.1 XL naming-contest announcement,1980,1980,1980,JMC Racing; Bicycle Harbor of Arizona; Matt Raymer,"Product naming chronology, dealer collaboration and origin of the 3.1 XL name.",Unresolved / varies,Period ABA-paper announcement not yet recovered,,Existing public knowledge register,JMC's first-party history states the contest ran with Bicycle Harbor of Arizona in the ABA paper and that Matt Raymer supplied the winning name. The announcement itself is not yet located.,HIGH for historical claim; LOW for object recovery,INDEX-ONLY,Lead — locate the ABA paper issue and announcement; do not imply an exact scan has been found.,https://jmcbmx.wordpress.com/about/,,jmc racing bicycle harbor of arizona matt raymer|jmc 3 1 xl naming contest announcement|1980,,RETAIN — unique source record,Image: No image recovered. Text: Paraphrase first-party historical claim.,2026-07-30,PKR-CAT-004,Contests and promotions
EPH-0017,v0.6,GTD-OBJ-0001,Catalog,1992 GT/Dyno Product Catalog,1992,1992,1992,GT; Dyno,"Model-year lineup, GT/Dyno relationship and page-level printed prices.",Unresolved / varies,Publicly indexed title and price-bearing pages; exact canonical ID unresolved,,GT/Dyno sequence,"Two indexed pages expose $259 and $319, but exact page numbers, currency and price basis are not established.",MEDIUM,INDEX-ONLY,"OPEN — exact reference, full pagination and price labels",https://in.pinterest.com/pin/1011550766308215575/,https://www.pinterest.com/pin/430304939389697452/,gt dyno|1992 gt dyno product catalog|1992,DUP-GTD-1992,MERGE identity; preserve source occurrence,Do not identify the $319 bicycle without adjacent page context.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0018,v0.6,GTD-OBJ-0002,Catalog,1996 GT/Dyno — The BMX & Freestyle Catalog,1996,1996,1996,GT; Dyno,"Mid-1990s BMX/freestyle lineup, brand architecture, models and specifications.",Unresolved / varies,Publicly indexed title; exact canonical ID unresolved,,GT/Dyno sequence,"A public resale listing describes a 22-page 1996 catalog, but this does not resolve the BMXMuseum ID or prove completeness.",MEDIUM,INDEX-ONLY,OPEN — recover exact reference and compare page count,https://www.pinterest.com/pin/bmxmuseumcom-reference-1996-gtdyno-the-bmx-freestyle-catalog--491877590560035755/,,gt dyno|1996 gt dyno the bmx freestyle catalog|1996,DUP-GTD-1996,MERGE identity; preserve source occurrence,Catalog-object existence is stronger than page-level extraction.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0019,v0.6,GTD-OBJ-0003,Catalog,1999 GT/Dyno BMX/Freestyle — Part 2,1999,1999,1999,GT; Dyno,"Late-1990s model lineup, components and division of a multi-part reference set.",Unresolved / varies,Publicly indexed title; exact canonical ID unresolved,,GT/Dyno sequence,"Only Part 2 is publicly indexed in this pass; Part 1, page range and exact BMXMuseum ID remain open.",LOW-MEDIUM,INDEX-ONLY,OPEN — locate Part 1 and canonical links,https://www.pinterest.com/pin/bmxmuseumcom-reference-1999-gtdyno-bmxfreestyle-part-2-in-2025--798192733998105769/,,gt dyno|1999 gt dyno bmx freestyle part 2|1999,DUP-GTD-1999-P2,MERGE identity; preserve source occurrence,Keep multi-part object hierarchy explicit.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0020,v0.6,GTD-OBJ-0004,Retailer advertisement / price list,Dynamic BMX complete-bike price advertisement,1987,1987,August 1987,GT; Dyno; Haro; Auburn,Contemporaneous advertised prices for GT and Dyno complete bikes.,Unresolved / varies,Independent period publication; not a BMXMuseum object,,GT/Dyno sequence,"OCR is uneven. Only clearly legible model/price pairs are preserved; prices are retailer advertisements, not manufacturer MSRP.",MEDIUM-HIGH for clear rows,INDEX-ONLY,INCLUDED — clear prices only,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,,gt dyno haro auburn|dynamic bmx complete bike price advertisement|1987,,RETAIN — unique source record,"US publication context supports USD, but seller identity should be checked from page image before stronger claims.",2026-07-30,PKR-CAT-002,Advertisements and price lists
EPH-0021,v0.6,GTD-OBJ-0005,Retailer advertisement / price list,Complete-bike mail-order price advertisement,1987,1987,July 1987,GT; Dyno; Skyway; Haro,Contemporaneous advertised prices and cross-brand retail comparison.,Unresolved / varies,Independent period publication; not a BMXMuseum object,,GT/Dyno sequence,OCR is uneven; the four GT rows retained here are clear enough for a price observation but remain retailer prices.,MEDIUM-HIGH for clear rows,INDEX-ONLY,INCLUDED — clear prices only,https://previouspage.co.uk/magazines/BMX%20Plus/issues/244-july-nineteen-eighty-seven,,gt dyno skyway haro|complete bike mail order price advertisement|1987,,RETAIN — unique source record,Do not merge duplicate model prices across sellers/issues.,2026-07-30,PKR-CAT-002,Advertisements and price lists
EPH-0022,v0.6,GTD-OBJ-0006,Contest entry form / promotion,BMX Plus! / GT Hide-A-Contest entry form,1987,1987,Deadline 1987-09-28; drawing 1987-10-05,GT; BMX Plus!,"GT promotional partnership, contest dates, entry mechanism and period audience marketing.",Unresolved / varies,Independent period publication; not a BMXMuseum object,,GT/Dyno sequence,The indexed page exposes deadline and drawing dates; prize/object details require page-image inspection.,HIGH for dates,INDEX-ONLY,INCLUDED — bibliographic facts; prize details open,https://previouspage.co.uk/issues/245-august-nineteen-eighty-seven,,gt bmx plus|bmx plus gt hide a contest entry form|1987,DUP-GT-HIDE-CONTEST,MERGE identity; preserve source occurrence,"Classified as promotional entry form, not event flyer or catalog.",2026-07-30,PKR-CAT-004,Contests and promotions
EPH-0023,v0.7,HAR-OBJ-0001,Catalog,1990 Haro BMX Catalog,1990,1990,1990,Haro,Existence of a Haro-issued 1990 catalog and official year placement.,Unresolved / varies,Catalog existence verified; exact BMXMuseum ID unresolved,,Official manufacturer archive,Official archive confirms the catalog year but does not expose the unresolved BMXMuseum canonical ID in this pass.,HIGH for existence,INDEX-ONLY,OPEN — recover BMXMuseum ID and compare file pagination,https://archive.harobikes.com/bmx,https://www.bmx-catalogue.com/haro/mid-school/1990/model.html,haro|1990 haro bmx catalog|1990,DUP-HARO-1990-CAT,MERGE identity; preserve source occurrence,Official archive outranks model-recreation pages for catalog existence.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0024,v0.7,HAR-OBJ-0002,Catalog model page,1990 Haro Group 1A,1990,1990,1990,Haro,"Model-year existence, full-chromoly claim, race positioning and selected component descriptions.",Unresolved / varies,No exact BMXMuseum model-page ID established,,Enthusiast catalog reconstruction,BMX-Catalogue presents recreated catalog content; treat as corroboration until checked against Haro's PDF.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1a.html,https://archive.harobikes.com/bmx,haro|1990 haro group 1a|1990,,RETAIN — unique source record,Do not treat serial guidance as factory documentation without separate validation.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0025,v0.7,HAR-OBJ-0003,Catalog model page,1990 Haro Group 1B,1990,1990,1990,Haro,Model-year existence and chromoly main-tube construction claim.,Unresolved / varies,No exact BMXMuseum model-page ID established,,Enthusiast catalog reconstruction,Public reconstruction is useful for discovery; original Haro page comparison remains required.,MEDIUM,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1b.html,https://archive.harobikes.com/bmx,haro|1990 haro group 1b|1990,,RETAIN — unique source record,Model detail intentionally limited to exposed claims.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0026,v0.7,HAR-OBJ-0004,Catalog model page,1990 Haro Group 1C,1990,1990,1990,Haro,Model-year existence within the three-model Group 1 range.,Unresolved / varies,No exact BMXMuseum model-page ID established,,Enthusiast catalog reconstruction,"The 1990 overview explicitly names Group 1A, 1B and 1C; full page detail awaits direct comparison.",MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://www.bmx-catalogue.com/haro/mid-school/1990/group-1c.html,https://www.bmx-catalogue.com/haro/mid-school/1990/model.html,haro|1990 haro group 1c|1990,,RETAIN — unique source record,Keep Group 1 variants as distinct objects.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0027,v0.7,HAR-OBJ-0005,Catalog model page,1990 Haro Master / Team Master,1990,1990,1990,Haro,"Master model-year existence, refined bashguard/longer wheelbase claims, colors and limited Team Master availability.",Unresolved / varies,No exact BMXMuseum model-page ID established,,Enthusiast catalog reconstruction,Claims come from a recreated catalog page; verify wording and availability against the official PDF.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://www.bmx-catalogue.com/haro/mid-school/1990/master.html,https://archive.harobikes.com/bmx,haro|1990 haro master team master|1990,,RETAIN — unique source record,Master and Team Master remain linked but separately identifiable variants.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0028,v0.7,HAR-OBJ-0006,Catalog model page,1990 Haro Invert,1990,1990,1990,Haro,"Model-year existence, relation to Sport geometry and selected equipment.",Unresolved / varies,No exact BMXMuseum model-page ID established,,Enthusiast catalog reconstruction,Reconstruction should be compared against official scan before exact-copy or specification claims are elevated.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://www.bmx-catalogue.com/haro/mid-school/1990/invert.html,https://archive.harobikes.com/bmx,haro|1990 haro invert|1990,,RETAIN — unique source record,Paraphrase only.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0029,v0.7,HAR-OBJ-0007,Catalog model list,1990 Haro Shredder,1990,1990,1990,Haro,Model-year existence and broad freestyle/street/track classification.,Unresolved / varies,No exact BMXMuseum model-page ID established,,Indexed enthusiast model registry,"The advanced registry lists the model, but a dedicated catalog page was not recovered in this pass.",MEDIUM,INDEX-ONLY,OPEN — locate original catalog page,https://www.bmx-catalogue.com/advanced-search.html,https://archive.harobikes.com/bmx,haro|1990 haro shredder|1990,,RETAIN — unique source record,Do not infer complete specification.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0030,v0.7,HAR-OBJ-0008,Catalog mailer / advertisement,1991 Haro/Fusion catalog offer,1991,1991,1991 catalog; ad in Nov 1991,Haro; Fusion,"Catalog distribution mechanism, $2 mailer price, Haro/Fusion relationship and distributor context.",Unresolved / varies,Not a BMXMuseum object in this pass,,Independent period publication,"Period publication exposes the offer; retain as promotional ephemera, not as the catalog itself.",HIGH for offer,INDEX-ONLY,INCLUDED — mailer object,https://www.previouspage.co.uk/issues/131-november-nineteen-ninety-one,https://archive.harobikes.com/bmx,haro fusion|1991 haro fusion catalog offer|1991,DUP-HARO-1991-MAILER,MERGE identity; preserve source occurrence,Catalog fee is not a bicycle price.,2026-07-30,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0031,v0.7,ASH-OBJ-0001,Component catalog,Ashtabula component catalog,1977,1977,circa 1977; date provisional,Ashtabula,Catalog-object identity and a period component range.,Unresolved / varies,BMXMuseum reference 5027,5027,EXACT EXTERNAL DIRECT LINK,Two technical discussions independently cite reference 5027; the edition date remains approximate.,HIGH for ID; MEDIUM for date,INDEX-ONLY,EXACT ID RECOVERED,https://bmxmuseum.com/reference/5027,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,ashtabula|ashtabula component catalog|1977,DUP-ASHT-5027,MERGE identity; preserve source occurrence,Canonical link preserved without direct blocked-path retrieval.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0032,v0.7,ASH-OBJ-0002,Catalog claim,Ashtabula crank length range,1977,1977,circa 1977; interpretation,Ashtabula,A discussion reports catalog cranks up to 6-1/2 inches.,Unresolved / varies,Derived from reference 5027 discussion,5027,EXTERNAL TECHNICAL INTERPRETATION,"This is an externally interpreted catalog fact, not direct page transcription in this research route.",MEDIUM,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,https://bmxmuseum.com/reference/5027,ashtabula|ashtabula crank length range|1977,,RETAIN — unique source record,Verify page image when lawful access is available.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0033,v0.7,ASH-OBJ-0003,Catalog claim,Ashtabula fork sizing and 6-3/4-inch steerer discussion,1977,1977,circa 1977; interpretation,Ashtabula,A discussion describes fork offerings across wheel sizes and a 6-3/4-inch steerer.,Unresolved / varies,Derived from reference 5027 discussion,5027,EXTERNAL TECHNICAL INTERPRETATION,Technical interpretation depends on the cited discussion; retain attribution and do not generalize beyond the described page.,MEDIUM,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,https://bmxmuseum.com/reference/5027,ashtabula|ashtabula fork sizing and 6 3 4 inch steerer discussion|1977,,RETAIN — unique source record,Ground-clearance rationale is an interpreted claim.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0034,v0.7,ASH-OBJ-0004,Manufacturer/distributor catalog page,Mongoose 1979/80 catalog — Ashtabula one-piece cranks,1979,1979,1979/80,Mongoose; Ashtabula,5-1/2-inch and 6-1/2-inch Ashtabula one-piece crank offerings within the Mongoose component catalog.,Unresolved / varies,Independent period PDF,,PERIOD CATALOG PAGE,"Page image was inspected in this research sequence. It corroborates product presence, not the edition/date of reference 5027.",HIGH,INDEX-ONLY,INCLUDED — visual page inspected,https://www.vintagemongoose.com/pdfs/mongoose_cat79-80.pdf,https://www.vintagemongoose.com/info/catalogs.php,mongoose ashtabula|mongoose 1979 80 catalog ashtabula one piece cranks|1979,,RETAIN — unique source record,Do not copy the catalog page into the register.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0035,v0.7,ASH-OBJ-0005,Manufacturer/distributor catalog page,Mongoose 1976–77 accessories — Ashtabula/Cecor pedals,1976,1976,1976–77,Mongoose; Ashtabula/Cecor,Ashtabula/Cecor pedal listing alongside early BMX components.,Unresolved / varies,Independent period PDF,,PERIOD CATALOG PAGE,Page image was inspected; exact OEM/branding relationship requires separate corporate verification.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — visual page inspected,https://www.vintagemongoose.com/pdfs/mongoose_cat76-77.pdf,https://www.vintagemongoose.com/info/catalogs.php,mongoose ashtabula cecor|mongoose 1976 77 accessories ashtabula cecor pedals|1976,,RETAIN — unique source record,Record product listing without claiming manufacturing origin.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0036,v0.8,MB-OBJ-0001,Product catalog,1978 Redline product catalog,1978,1978,1978,Redline,"Introduction of purpose-built stem, seat clamp and seat post alongside frames/forks.",Unresolved / varies,BMXMuseum comparison ecosystem; exact catalog reference not recovered,,Historical brand archive,Current historical archive summarizes the catalog; original page structure and BMXMuseum ID remain open.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED WITH ATTRIBUTION,https://www.redlinevintagebmx.com/redline-history,,redline|1978 redline product catalog|1978,,RETAIN — unique source record,Do not reproduce archive images.,2026-07-30,PKR-CAT-001,Catalogs and product literature
EPH-0037,v0.8,MB-OBJ-0002,Magazine advertisement,First Red Line magazine advertisement featuring John Palfreyman,1970,1970,1970s; exact issue open,Redline,Early rider endorsement and product-testing relationship.,Unresolved / varies,Existing master relationship; exact bibliographic object unresolved,,Official rider-history corroboration,"USA BMX supports the rider/ad relationship; publication, issue, page and product still require recovery.",HIGH for relationship; MEDIUM for object,INDEX-ONLY,OPEN — exact issue/page,https://www.usabmx.com/news-and-media/6/2012-05-10/National-BMX-Hall-of-Fame-2012-Inductees-Announced?id=580,https://www.redlinevintagebmx.com/redline-history,redline|first red line magazine advertisement featuring john palfreyman|1970,DUP-REDLINE-FIRST-AD,MERGE identity; preserve source occurrence,Relationship remains stronger than bibliographic detail.,2026-07-30,PKR-CAT-002,Advertisements and price lists
